,No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
26324,26325,2013,1,1,20,4.0,53.0,69.0,53.0,6.7,76.0,1012.4,10.8,NE,1.4,0.0,0.0
26325,26326,2013,1,1,21,4.0,50.0,53.0,50.0,6.5,75.0,1012.2,10.7,NW,1.2,0.0,0.0
26326,26327,2013,1,1,22,4.0,54.0,59.0,54.0,6.3,75.0,1012.2,10.5,NE,1.0,0.0,0.0
26327,26328,2013,1,1,23,4.0,63.0,61.0,63.0,6.6,77.0,1012.1,10.5,NW,0.8,0.0,0.0
26328,26329,2013,1,2,0,4.0,55.0,59.0,55.0,6.4,77.0,1011.9,10.3,NE,0.9,0.0,0.0
26330,26331,2013,1,2,2,4.0,66.0,61.0,66.0,7.1,80.0,1011.3,10.4,NW,1.3,0.0,0.0
26331,26332,2013,1,2,3,4.0,65.0,67.0,65.0,7.0,79.0,1011.1,10.5,NW,2.7,0.0,0.0
26332,26333,2013,1,2,4,4.0,63.0,76.0,63.0,5.1,68.0,1010.8,10.8,NW,5.2,0.0,0.0
26333,26334,2013,1,2,5,4.0,59.0,68.0,59.0,3.9,61.0,1011.0,11.1,NW,6.8,0.0,0.0
26334,26335,2013,1,2,6,4.0,68.0,60.0,68.0,4.9,66.0,1011.2,11.0,NW,8.8,0.0,0.0
26335,26336,2013,1,2,7,4.0,66.0,59.0,66.0,3.8,60.0,1011.8,11.3,NW,12.9,0.0,0.0
26336,26337,2013,1,2,8,4.0,69.0,60.0,69.0,4.0,59.0,1012.7,11.7,NW,15.8,0.0,0.0
26337,26338,2013,1,2,9,4.0,69.0,70.0,69.0,4.7,60.0,1013.5,12.2,NW,18.3,0.0,0.0
26339,26340,2013,1,2,11,4.0,86.0,66.0,86.0,4.7,52.0,1013.8,14.4,NE,2.5,0.0,0.0
26340,26341,2013,1,2,12,4.0,77.0,83.0,77.0,5.7,50.0,1012.5,16.1,NE,4.9,0.0,0.0
26341,26342,2013,1,2,13,4.0,82.0,74.0,82.0,4.9,42.0,1011.2,18.0,NW,2.0,0.0,0.0
26342,26343,2013,1,2,14,4.0,69.0,80.0,69.0,4.5,42.0,1010.4,17.5,NE,3.2,0.0,0.0
26343,26344,2013,1,2,15,4.0,62.0,73.0,62.0,4.8,43.0,1010.2,17.5,NW,3.9,0.0,0.0
26344,26345,2013,1,2,16,4.0,59.0,63.0,59.0,5.9,46.0,1010.1,17.7,NW,7.4,0.0,0.0
26345,26346,2013,1,2,17,4.0,56.0,63.0,56.0,6.8,51.0,1010.8,17.0,NW,10.5,0.0,0.0
26346,26347,2013,1,2,18,4.0,72.0,55.0,72.0,7.4,59.0,1011.3,15.4,NW,13.6,0.0,0.0
26347,26348,2013,1,2,19,4.0,78.0,72.0,78.0,7.7,64.0,1011.6,14.4,NW,16.3,0.0,0.0
26348,26349,2013,1,2,20,4.0,89.0,73.0,89.0,7.5,63.0,1012.2,14.5,NW,19.7,0.0,0.0
26350,26351,2013,1,2,22,4.0,92.0,86.0,92.0,7.8,70.0,1013.7,13.1,NE,7.0,0.0,0.0
26351,26352,2013,1,2,23,4.0,61.0,77.0,61.0,7.4,67.0,1014.1,13.4,NE,11.0,0.0,0.0
26352,26353,2013,1,3,0,4.0,66.0,70.0,66.0,7.0,62.0,1014.5,14.2,NE,13.4,0.0,0.0
26353,26354,2013,1,3,1,4.0,62.0,71.0,62.0,7.4,65.0,1014.6,13.9,NE,17.7,0.0,0.0
26354,26355,2013,1,3,2,4.0,53.0,70.0,53.0,7.3,64.0,1014.9,14.0,NE,23.0,0.0,0.0
26355,26356,2013,1,3,3,4.0,49.0,60.0,49.0,7.4,65.0,1015.0,13.9,NE,26.3,0.0,0.0
26356,26357,2013,1,3,4,4.0,49.0,54.0,49.0,8.5,74.0,1014.5,13.0,NE,30.4,0.0,0.0
26357,26358,2013,1,3,5,4.0,85.0,55.0,85.0,7.3,67.0,1015.2,13.3,NE,34.8,0.0,0.0
26358,26359,2013,1,3,6,4.0,133.0,51.0,133.0,7.0,67.0,1015.3,13.0,NW,4.7,0.0,0.0
26359,26360,2013,1,3,7,4.0,48.0,55.0,48.0,5.7,61.0,1015.9,13.0,NE,7.2,0.0,0.0
26360,26361,2013,1,3,8,4.0,43.0,58.0,43.0,4.8,59.0,1016.8,12.6,NE,12.0,0.0,0.0
26361,26362,2013,1,3,9,4.0,58.0,53.0,58.0,5.4,61.0,1017.9,12.7,NE,17.1,0.0,0.0
26362,26363,2013,1,3,10,4.0,61.0,57.0,61.0,5.5,59.0,1018.4,13.3,NE,22.3,0.0,0.0
26363,26364,2013,1,3,11,4.0,67.0,63.0,67.0,5.6,57.0,1018.3,14.0,NE,28.6,0.0,0.0
26364,26365,2013,1,3,12,4.0,64.0,64.0,64.0,5.9,55.0,1017.3,14.8,NE,36.3,0.0,0.0
26365,26366,2013,1,3,13,4.0,58.0,63.0,58.0,6.0,59.0,1016.5,13.9,NE,43.5,0.0,0.0
26366,26367,2013,1,3,14,4.0,49.0,54.0,49.0,6.1,61.0,1015.9,13.5,NE,50.2,0.0,0.0
26367,26368,2013,1,3,15,4.0,46.0,52.0,46.0,5.8,62.0,1015.5,12.9,NE,56.4,0.0,0.0
26368,26369,2013,1,3,16,4.0,48.0,54.0,48.0,5.3,62.0,1015.7,12.4,NE,62.3,0.0,0.0
26369,26370,2013,1,3,17,4.0,45.0,60.0,45.0,5.4,66.0,1016.4,11.5,NW,4.4,0.0,0.0
26370,26371,2013,1,3,18,4.0,46.0,62.0,46.0,4.6,68.0,1017.0,10.2,NE,6.6,0.0,0.0
26371,26372,2013,1,3,19,4.0,55.0,59.0,55.0,3.8,67.0,1017.4,9.6,NE,12.8,0.0,0.0
26372,26373,2013,1,3,20,4.0,49.0,59.0,49.0,3.1,67.0,1017.9,8.9,NE,21.2,0.0,0.0
26373,26374,2013,1,3,21,4.0,56.0,55.0,56.0,3.0,68.0,1018.4,8.6,NW,8.2,0.0,0.0
26374,26375,2013,1,3,22,4.0,48.0,51.0,48.0,2.7,68.0,1018.2,8.3,NW,15.3,0.0,0.0
26375,26376,2013,1,3,23,4.0,43.0,48.0,43.0,2.5,68.0,1018.1,8.0,NW,22.7,0.0,0.0
26376,26377,2013,1,4,0,4.0,37.0,43.0,37.0,2.3,69.0,1018.0,7.6,NE,5.6,0.0,0.0
26377,26378,2013,1,4,1,4.0,36.0,37.0,36.0,2.2,70.0,1017.7,7.3,NW,4.6,0.0,0.0
26378,26379,2013,1,4,2,4.0,39.0,29.0,39.0,1.7,69.0,1017.7,7.0,NW,8.7,0.0,0.0
26379,26380,2013,1,4,3,4.0,29.0,36.0,29.0,1.6,70.0,1017.0,6.7,NE,7.0,0.0,0.0
26380,26381,2013,1,4,4,4.0,30.0,34.0,30.0,2.0,73.0,1016.2,6.5,NE,10.5,0.0,0.0
26381,26382,2013,1,4,5,4.0,31.0,31.0,31.0,2.1,74.0,1015.9,6.4,NE,13.8,0.0,0.0
26382,26383,2013,1,4,6,4.0,33.0,33.0,33.0,3.0,78.0,1015.9,6.6,NE,15.5,0.0,0.0
26383,26384,2013,1,4,7,4.0,33.0,30.0,33.0,2.4,75.0,1016.8,6.5,NE,20.1,0.0,0.0
26384,26385,2013,1,4,8,4.0,30.0,29.0,30.0,1.8,73.0,1017.2,6.3,NE,25.0,0.0,0.0
26385,26386,2013,1,4,9,4.0,26.0,27.0,26.0,1.8,72.0,1017.7,6.5,NE,28.4,0.0,0.0
26386,26387,2013,1,4,10,4.0,26.0,30.0,26.0,2.7,70.0,1017.2,7.8,NW,2.9,0.0,0.0
26387,26388,2013,1,4,11,4.0,33.0,33.0,33.0,2.7,68.0,1016.7,8.2,NW,8.0,0.0,0.0
26388,26389,2013,1,4,12,4.0,37.0,36.0,37.0,2.5,70.0,1015.6,7.6,NW,11.9,0.0,0.0
26389,26390,2013,1,4,13,4.0,39.0,31.0,39.0,3.0,70.0,1014.1,8.1,NE,4.4,0.0,0.0
26390,26391,2013,1,4,14,4.0,32.0,38.0,32.0,2.8,69.0,1013.2,8.1,NW,6.8,0.0,0.0
26391,26392,2013,1,4,15,4.0,36.0,29.0,36.0,3.6,67.0,1012.3,9.4,NE,2.4,0.0,0.0
26392,26393,2013,1,4,16,4.0,47.0,37.0,47.0,2.9,67.0,1012.1,8.7,NW,4.1,0.0,0.0
26393,26394,2013,1,4,17,4.0,38.0,40.0,38.0,2.8,70.0,1012.8,7.9,NW,8.1,0.0,0.0
26394,26395,2013,1,4,18,4.0,34.0,43.0,34.0,2.6,75.0,1013.0,6.7,NE,4.3,0.0,0.0
26395,26396,2013,1,4,19,4.0,42.0,36.0,42.0,2.5,77.0,1013.2,6.2,NE,9.6,0.0,0.0
26396,26397,2013,1,4,20,4.0,42.0,42.0,42.0,2.4,77.0,1013.3,6.1,NE,14.4,0.0,0.0
26397,26398,2013,1,4,21,4.0,37.0,39.0,37.0,2.7,80.0,1013.3,5.9,NE,20.0,0.0,0.0
26398,26399,2013,1,4,22,4.0,30.0,36.0,30.0,3.0,84.0,1013.3,5.5,NE,26.0,0.0,0.0
26399,26400,2013,1,4,23,4.0,29.0,36.0,29.0,2.9,84.0,1013.8,5.4,NW,6.1,0.0,0.0
26400,26401,2013,1,5,0,4.0,24.0,29.0,24.0,3.3,90.0,1013.7,4.8,NE,4.2,0.0,0.0
26401,26402,2013,1,5,1,4.0,27.0,26.0,27.0,2.7,87.0,1013.4,4.7,NW,6.7,0.0,0.0
26402,26403,2013,1,5,2,4.0,23.0,27.0,23.0,2.8,88.0,1013.6,4.6,NE,4.8,0.0,0.0
26403,26404,2013,1,5,3,4.0,19.0,23.0,19.0,3.3,92.0,1013.1,4.5,NE,7.7,0.0,0.0
26404,26405,2013,1,5,4,4.0,19.0,20.0,19.0,3.9,95.0,1012.8,4.6,NW,3.5,0.0,0.0
26405,26406,2013,1,5,5,4.0,17.0,18.0,17.0,3.7,94.0,1012.8,4.6,NE,3.3,0.0,0.0
26408,26409,2013,1,5,8,4.0,20.0,18.0,20.0,3.3,88.0,1014.0,5.1,NW,4.9,0.0,0.0
26410,26411,2013,1,5,10,4.0,29.0,24.0,29.0,3.8,79.0,1014.3,7.2,NW,12.0,0.0,0.0
26411,26412,2013,1,5,11,4.0,33.0,20.0,33.0,3.8,73.0,1013.6,8.3,NE,5.0,0.0,0.0
26412,26413,2013,1,5,12,4.0,34.0,31.0,34.0,3.3,70.0,1013.0,8.5,NE,8.3,0.0,0.0
26413,26414,2013,1,5,13,4.0,37.0,33.0,37.0,3.8,70.0,1011.7,9.0,NE,12.1,0.0,0.0
26414,26415,2013,1,5,14,4.0,35.0,33.0,35.0,3.7,67.0,1010.7,9.5,NE,16.4,0.0,0.0
26415,26416,2013,1,5,15,4.0,37.0,36.0,37.0,4.0,69.0,1010.2,9.4,NE,21.5,0.0,0.0
26416,26417,2013,1,5,16,4.0,39.0,35.0,39.0,4.2,70.0,1010.3,9.4,NE,26.4,0.0,0.0
26417,26418,2013,1,5,17,4.0,40.0,41.0,40.0,4.1,69.0,1010.5,9.5,NW,4.6,0.0,0.0
26418,26419,2013,1,5,18,4.0,40.0,41.0,40.0,4.2,72.0,1010.7,9.0,NE,2.7,0.0,0.0
26420,26421,2013,1,5,20,4.0,36.0,51.0,36.0,4.2,75.0,1011.6,8.4,NE,4.1,0.0,0.0
26421,26422,2013,1,5,21,4.0,34.0,44.0,34.0,4.1,75.0,1012.1,8.3,NW,4.1,0.0,0.0
26422,26423,2013,1,5,22,4.0,37.0,40.0,37.0,4.1,75.0,1012.5,8.3,NW,9.1,0.0,0.0
26425,26426,2013,1,6,1,4.0,37.0,40.0,37.0,3.7,76.0,1012.8,7.7,NE,6.0,0.0,0.0
26426,26427,2013,1,6,2,4.0,35.0,38.0,35.0,3.7,77.0,1012.8,7.5,NW,5.0,0.0,0.0
26427,26428,2013,1,6,3,4.0,34.0,36.0,34.0,3.4,76.0,1012.7,7.3,NW,10.9,0.0,0.0
26428,26429,2013,1,6,4,4.0,28.0,32.0,28.0,3.5,76.0,1012.6,7.4,NE,6.2,0.0,0.0
26429,26430,2013,1,6,5,4.0,33.0,30.0,33.0,3.5,77.0,1012.9,7.3,NE,11.6,0.0,0.0
26432,26433,2013,1,6,8,4.0,33.0,26.0,33.0,3.7,79.0,1014.9,7.1,NW,5.5,0.0,0.0
26433,26434,2013,1,6,9,4.0,30.0,32.0,30.0,3.7,77.0,1015.6,7.5,NE,5.1,0.0,0.0
26434,26435,2013,1,6,10,4.0,36.0,33.0,36.0,3.9,75.0,1015.9,8.1,NE,10.0,0.0,0.0
26435,26436,2013,1,6,11,4.0,36.0,35.0,36.0,4.2,71.0,1015.3,9.2,NE,15.4,0.0,0.0
26436,26437,2013,1,6,12,4.0,34.0,41.0,34.0,4.3,65.0,1014.1,10.6,NE,19.3,0.0,0.0
26437,26438,2013,1,6,13,4.0,42.0,45.0,42.0,4.7,64.0,1012.8,11.3,NE,25.2,0.0,0.0
26438,26439,2013,1,6,14,4.0,47.0,42.0,47.0,5.4,64.0,1011.7,12.0,NE,27.8,0.0,0.0
26439,26440,2013,1,6,15,4.0,54.0,43.0,54.0,5.0,60.0,1011.1,12.6,NE,32.5,0.0,0.0
26440,26441,2013,1,6,16,4.0,42.0,44.0,42.0,4.9,67.0,1011.2,10.8,NE,37.1,0.0,0.0
26441,26442,2013,1,6,17,4.0,43.0,45.0,43.0,4.6,70.0,1011.4,9.8,NE,40.8,0.0,0.0
26442,26443,2013,1,6,18,4.0,39.0,48.0,39.0,4.8,73.0,1011.6,9.4,NW,3.7,0.0,0.0
26443,26444,2013,1,6,19,4.0,46.0,46.0,46.0,4.4,72.0,1011.7,9.2,NW,7.6,0.0,0.0
26444,26445,2013,1,6,20,4.0,44.0,46.0,44.0,4.3,73.0,1012.3,8.9,NW,12.0,0.0,0.0
26445,26446,2013,1,6,21,4.0,50.0,46.0,50.0,4.6,74.0,1012.8,9.0,NE,3.3,0.0,0.0
26446,26447,2013,1,6,22,4.0,51.0,51.0,51.0,4.4,74.0,1012.8,8.8,NE,7.8,0.0,0.0
26447,26448,2013,1,6,23,4.0,54.0,51.0,54.0,4.2,74.0,1013.4,8.6,NW,6.3,0.0,0.0
26448,26449,2013,1,7,0,4.0,54.0,53.0,54.0,4.5,77.0,1013.1,8.3,NE,5.9,0.0,0.0
26449,26450,2013,1,7,1,4.0,52.0,58.0,52.0,5.0,81.0,1012.8,8.1,NE,12.4,0.0,0.0
26450,26451,2013,1,7,2,4.0,49.0,57.0,49.0,4.9,82.0,1012.7,7.8,NW,3.5,0.0,0.0
26451,26452,2013,1,7,3,4.0,45.0,50.0,45.0,4.5,81.0,1012.7,7.5,NE,5.1,0.0,0.0
26452,26453,2013,1,7,4,4.0,43.0,52.0,43.0,4.4,81.0,1012.6,7.4,NW,4.3,0.0,0.0
26453,26454,2013,1,7,5,4.0,47.0,44.0,47.0,4.2,80.0,1012.8,7.4,NW,8.4,0.0,0.0
26454,26455,2013,1,7,6,4.0,42.0,44.0,42.0,4.3,80.0,1012.9,7.5,NE,2.0,0.0,0.0
26455,26456,2013,1,7,7,4.0,41.0,38.0,41.0,4.6,81.0,1013.4,7.6,NE,5.0,0.0,0.0
26456,26457,2013,1,7,8,4.0,49.0,43.0,49.0,4.7,80.0,1014.0,7.9,NW,2.6,0.0,0.0
26457,26458,2013,1,7,9,4.0,43.0,48.0,43.0,4.6,75.0,1014.6,8.8,NE,5.0,0.0,0.0
26460,26461,2013,1,7,12,4.0,63.0,54.0,63.0,6.0,62.0,1012.5,13.1,NW,12.1,0.0,0.0
26461,26462,2013,1,7,13,4.0,86.0,59.0,86.0,6.2,55.0,1010.9,15.2,NW,14.8,0.0,0.0
26462,26463,2013,1,7,14,4.0,66.0,69.0,66.0,6.2,52.0,1009.6,16.0,NW,17.1,0.0,0.0
26463,26464,2013,1,7,15,4.0,72.0,80.0,72.0,6.1,49.0,1008.6,16.9,NW,18.9,0.0,0.0
26464,26465,2013,1,7,16,4.0,67.0,86.0,67.0,6.3,49.0,1008.5,17.1,NW,20.8,0.0,0.0
26465,26466,2013,1,7,17,4.0,61.0,75.0,61.0,6.4,53.0,1008.7,16.0,NW,23.6,0.0,0.0
26466,26467,2013,1,7,18,4.0,71.0,71.0,71.0,7.0,61.0,1009.2,14.4,NW,25.9,0.0,0.0
26468,26469,2013,1,7,20,4.0,87.0,86.0,87.0,8.1,87.0,1010.2,10.2,NE,2.9,0.0,0.0
26469,26470,2013,1,7,21,4.0,92.0,86.0,92.0,7.7,80.0,1010.5,11.0,NW,1.4,0.0,0.0
26470,26471,2013,1,7,22,4.0,100.0,105.0,100.0,7.9,90.0,1010.8,9.5,NW,3.1,0.0,0.0
26471,26472,2013,1,7,23,4.0,110.0,108.0,110.0,7.4,90.0,1011.0,9.0,NW,4.3,0.0,0.0
26472,26473,2013,1,8,0,4.0,98.0,112.0,98.0,7.4,79.0,1010.5,10.9,NW,6.7,0.0,0.0
26474,26475,2013,1,8,2,4.0,78.0,91.0,78.0,6.7,71.0,1010.4,11.8,NE,3.0,0.0,0.0
26475,26476,2013,1,8,3,4.0,69.0,84.0,69.0,6.4,70.0,1010.6,11.7,NE,7.5,0.0,0.0
26476,26477,2013,1,8,4,4.0,63.0,82.0,63.0,6.2,69.0,1010.4,11.7,NE,12.1,0.0,0.0
26477,26478,2013,1,8,5,4.0,47.0,55.0,47.0,6.3,71.0,1010.2,11.4,NE,13.4,0.0,0.0
26478,26479,2013,1,8,6,4.0,54.0,54.0,54.0,6.4,72.0,1010.4,11.3,NW,2.4,0.0,0.0
26479,26480,2013,1,8,7,4.0,57.0,59.0,57.0,6.4,73.0,1011.1,11.1,NE,3.0,0.0,0.0
26480,26481,2013,1,8,8,4.0,54.0,60.0,54.0,6.4,72.0,1011.7,11.3,NE,5.5,0.0,0.0
26482,26483,2013,1,8,10,4.0,68.0,66.0,68.0,7.3,67.0,1012.9,13.3,NE,10.1,0.0,0.0
26484,26485,2013,1,8,12,4.0,79.0,83.0,79.0,7.4,56.0,1011.3,16.2,NE,16.4,0.0,0.0
26485,26486,2013,1,8,13,4.0,91.0,89.0,91.0,7.0,51.0,1009.8,17.2,SE,0.8,0.0,0.0
26486,26487,2013,1,8,14,4.0,107.0,88.0,107.0,7.6,51.0,1008.7,17.9,NW,1.8,0.0,0.0
26487,26488,2013,1,8,15,4.0,76.0,107.0,76.0,7.0,49.0,1008.2,17.9,NE,1.4,0.0,0.0
26488,26489,2013,1,8,16,4.0,69.0,82.0,69.0,8.1,52.0,1007.8,18.1,NW,3.0,0.0,0.0
26490,26491,2013,1,8,18,4.0,74.0,74.0,74.0,7.5,61.0,1008.8,14.9,NE,8.7,0.0,0.0
26491,26492,2013,1,8,19,4.0,66.0,69.0,66.0,7.5,65.0,1009.5,14.0,NW,3.2,0.0,0.0
26492,26493,2013,1,8,20,4.0,53.0,69.0,53.0,7.1,65.0,1010.4,13.5,NE,4.4,0.0,0.0
26493,26494,2013,1,8,21,4.0,60.0,59.0,60.0,7.0,67.0,1010.7,13.0,NW,4.1,0.0,0.0
26494,26495,2013,1,8,22,4.0,59.0,65.0,59.0,6.7,66.0,1011.6,12.9,NE,4.8,0.0,0.0
26495,26496,2013,1,8,23,4.0,56.0,62.0,56.0,6.1,64.0,1012.2,12.7,NW,5.6,0.0,0.0
26496,26497,2013,1,9,0,4.0,56.0,59.0,56.0,6.0,65.0,1012.6,12.4,NW,12.7,0.0,0.0
26497,26498,2013,1,9,1,4.0,47.0,61.0,47.0,5.9,66.0,1012.8,12.1,NE,6.7,0.0,0.0
26498,26499,2013,1,9,2,4.0,54.0,59.0,54.0,6.0,69.0,1012.4,11.5,NE,13.8,0.0,0.0
26499,26500,2013,1,9,3,4.0,53.0,59.0,53.0,6.1,71.0,1012.5,11.2,NW,6.9,0.0,0.0
26500,26501,2013,1,9,4,4.0,46.0,64.0,46.0,6.0,72.0,1012.3,10.8,NE,6.1,0.0,0.0
26501,26502,2013,1,9,5,4.0,43.0,63.0,43.0,5.2,71.0,1012.3,10.2,NE,13.6,0.0,0.0
26502,26503,2013,1,9,6,4.0,45.0,61.0,45.0,5.3,73.0,1012.5,9.9,NW,6.2,0.0,0.0
26503,26504,2013,1,9,7,4.0,52.0,60.0,52.0,4.8,71.0,1013.3,9.8,NW,11.5,0.0,0.0
26505,26506,2013,1,9,9,4.0,57.0,56.0,57.0,4.7,69.0,1015.0,10.1,NW,3.2,0.0,0.0
26506,26507,2013,1,9,10,4.0,55.0,57.0,55.0,4.1,65.0,1015.8,10.4,NW,8.2,0.0,0.0
26507,26508,2013,1,9,11,4.0,43.0,55.0,43.0,3.9,60.0,1014.8,11.4,NE,7.5,0.0,0.0
26509,26510,2013,1,9,13,4.0,49.0,44.0,49.0,3.8,55.0,1012.6,12.6,NE,19.2,0.0,0.0
26511,26512,2013,1,9,15,4.0,51.0,48.0,51.0,3.7,55.0,1011.8,12.5,NE,4.9,0.0,0.0
26512,26513,2013,1,9,16,4.0,60.0,58.0,60.0,3.5,56.0,1011.8,12.0,NW,5.2,0.0,0.0
26515,26516,2013,1,9,19,4.0,54.0,66.0,54.0,3.1,59.0,1013.3,10.8,NE,4.5,0.0,0.0
26516,26517,2013,1,9,20,4.0,61.0,71.0,61.0,3.0,59.0,1013.6,10.7,NW,4.0,0.0,0.0
26517,26518,2013,1,9,21,4.0,62.0,65.0,62.0,3.1,60.0,1014.2,10.5,NW,7.7,0.0,0.0
26518,26519,2013,1,9,22,4.0,61.0,69.0,61.0,3.1,61.0,1014.6,10.3,NW,12.0,0.0,0.0
26519,26520,2013,1,9,23,4.0,63.0,70.0,63.0,2.6,59.0,1015.0,10.2,NE,4.3,0.0,0.0
26520,26521,2013,1,10,0,4.0,70.0,78.0,70.0,1.9,57.0,1015.2,10.0,NE,10.4,0.0,0.0
26521,26522,2013,1,10,1,4.0,72.0,76.0,72.0,1.4,56.0,1015.5,9.8,NW,5.5,0.0,0.0
26522,26523,2013,1,10,2,4.0,73.0,79.0,73.0,1.8,59.0,1015.1,9.4,NE,5.5,0.0,0.0
26523,26524,2013,1,10,3,4.0,81.0,83.0,81.0,2.0,62.0,1014.7,8.9,NW,3.7,0.0,0.0
26524,26525,2013,1,10,4,4.0,77.0,83.0,77.0,1.1,60.0,1013.9,8.4,NE,4.9,0.0,0.0
26525,26526,2013,1,10,5,4.0,81.0,81.0,81.0,1.0,60.0,1014.1,8.3,NE,9.2,0.0,0.0
26526,26527,2013,1,10,6,4.0,89.0,77.0,89.0,0.4,57.0,1014.8,8.4,NW,4.0,0.0,0.0
26528,26529,2013,1,10,8,4.0,84.0,90.0,84.0,0.2,55.0,1015.5,8.7,NE,3.1,0.0,0.0
26529,26530,2013,1,10,9,4.0,90.0,90.0,90.0,0.5,55.0,1016.1,9.1,NE,6.0,0.0,0.0
26530,26531,2013,1,10,10,4.0,100.0,103.0,100.0,0.5,51.0,1016.3,10.2,NE,10.1,0.0,0.0
26531,26532,2013,1,10,11,4.0,100.0,102.0,100.0,1.1,48.0,1015.5,11.7,NW,4.4,0.0,0.0
26532,26533,2013,1,10,12,4.0,95.0,100.0,95.0,1.3,46.0,1014.5,12.6,NW,8.6,0.0,0.0
26533,26534,2013,1,10,13,4.0,111.0,104.0,111.0,2.7,46.0,1013.4,14.1,NE,3.5,0.0,0.0
26535,26536,2013,1,10,15,4.0,96.0,102.0,96.0,3.1,44.0,1011.9,15.3,NE,11.4,0.0,0.0
26536,26537,2013,1,10,16,4.0,94.0,105.0,94.0,3.1,46.0,1012.1,14.6,NE,15.5,0.0,0.0
26537,26538,2013,1,10,17,4.0,98.0,95.0,98.0,3.3,49.0,1012.0,13.8,NE,18.0,0.0,0.0
26538,26539,2013,1,10,18,4.0,101.0,101.0,101.0,3.4,52.0,1012.6,13.0,NW,2.5,0.0,0.0
26539,26540,2013,1,10,19,4.0,106.0,108.0,106.0,4.0,56.0,1012.8,12.5,NW,5.4,0.0,0.0
26541,26542,2013,1,10,21,4.0,111.0,114.0,111.0,5.7,65.0,1013.8,12.1,NE,2.7,0.0,0.0
26542,26543,2013,1,10,22,4.0,115.0,105.0,115.0,5.8,66.0,1014.5,11.9,NW,0.9,0.0,0.0
26543,26544,2013,1,10,23,4.0,113.0,104.0,113.0,7.0,72.0,1014.7,11.9,NW,3.0,0.0,0.0
26544,26545,2013,1,11,0,4.0,120.0,108.0,120.0,7.0,73.0,1014.8,11.7,NE,2.1,0.0,0.0
26545,26546,2013,1,11,1,4.0,125.0,104.0,125.0,6.4,69.0,1015.2,11.9,NW,2.2,0.0,0.0
26552,26553,2013,1,11,8,4.0,83.0,97.0,83.0,4.5,64.0,1014.6,11.0,NE,10.6,0.0,0.0
26553,26554,2013,1,11,9,4.0,89.0,92.0,89.0,5.4,62.0,1014.8,12.5,NE,13.1,0.0,0.0
26555,26556,2013,1,11,11,4.0,99.0,92.0,99.0,5.7,59.0,1014.8,13.5,NW,5.9,0.0,0.0
26556,26557,2013,1,11,12,4.0,98.0,940.0,98.0,6.0,57.0,1013.8,14.4,NE,4.9,0.0,0.0
26557,26558,2013,1,11,13,4.0,101.0,139.0,101.0,6.2,56.0,1012.9,14.9,NW,3.7,0.0,0.0
